Sample in Buffer,Sample in Window,TRIGGER,output_final[0][15:0],output_final[1][15:0],output_final[2][15:0],output_final[3][15:0],output_final[4][15:0],output_final[5][15:0],output_final[6][15:0],output_final[7][15:0],output_final[8][15:0],output_final[9][15:0],weights[0][15:0],weights[869][15:0],biases[0][15:0],biases[26][15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY,BINARY
0,0,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
1,1,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
2,2,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
3,3,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
4,4,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
5,5,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
6,6,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
7,7,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
8,8,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
9,9,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
10,10,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
11,11,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
12,12,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
13,13,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
14,14,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
15,15,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
16,16,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
17,17,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
18,18,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
19,19,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
20,20,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
21,21,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
22,22,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
23,23,0,0000100011011000,1111110010101010,1110101001010011,0001011011111101,1110100111010000,1110101100010011,1110010101010110,1110110111110100,1111110100101010,0000011001011001,1111111110101010,1111111110111111,0000000000111100,0000000010110111
